"","Species","Scenario","FDR","Year","Value","Metric"
"1","Canary Rockfish","Sampling",0.6,0,0,"Biomass"
"2","Canary Rockfish","Sampling",0.6,1,0,"Biomass"
"3","Canary Rockfish","Sampling",0.6,2,0.3554,"Biomass"
"4","Canary Rockfish","Sampling",0.6,3,0.5408,"Biomass"
"5","Canary Rockfish","Sampling",0.6,4,0.6426,"Biomass"
"6","Canary Rockfish","Sampling",0.6,5,0.7054,"Biomass"
"7","Canary Rockfish","Sampling",0.6,6,0.7432,"Biomass"
"8","Canary Rockfish","Sampling",0.6,7,0.7652,"Biomass"
"9","Canary Rockfish","Sampling",0.6,8,0.7782,"Biomass"
"10","Canary Rockfish","Sampling",0.6,9,0.7924,"Biomass"
"11","Canary Rockfish","Sampling",0.6,10,0.8036,"Biomass"
"12","Canary Rockfish","Sampling",0.6,11,0.812,"Biomass"
"13","Canary Rockfish","Sampling",0.6,12,0.819,"Biomass"
"14","Canary Rockfish","Sampling",0.6,13,0.8244,"Biomass"
"15","Canary Rockfish","Sampling",0.6,14,0.8308,"Biomass"
"16","Canary Rockfish","Sampling",0.6,15,0.8342,"Biomass"
"17","Canary Rockfish","Sampling",0.6,16,0.8364,"Biomass"
"18","Canary Rockfish","Sampling",0.6,17,0.8368,"Biomass"
"19","Canary Rockfish","Sampling",0.6,18,0.8368,"Biomass"
"20","Canary Rockfish","Sampling",0.6,19,0.8346,"Biomass"
"21","Canary Rockfish","Sampling",0.6,20,0.834,"Biomass"
"22","Canary Rockfish","Sampling",0.7,0,0,"Biomass"
"23","Canary Rockfish","Sampling",0.7,1,0,"Biomass"
"24","Canary Rockfish","Sampling",0.7,2,0.3334,"Biomass"
"25","Canary Rockfish","Sampling",0.7,3,0.5032,"Biomass"
"26","Canary Rockfish","Sampling",0.7,4,0.601,"Biomass"
"27","Canary Rockfish","Sampling",0.7,5,0.6416,"Biomass"
"28","Canary Rockfish","Sampling",0.7,6,0.6682,"Biomass"
"29","Canary Rockfish","Sampling",0.7,7,0.6858,"Biomass"
"30","Canary Rockfish","Sampling",0.7,8,0.6984,"Biomass"
"31","Canary Rockfish","Sampling",0.7,9,0.7104,"Biomass"
"32","Canary Rockfish","Sampling",0.7,10,0.7224,"Biomass"
"33","Canary Rockfish","Sampling",0.7,11,0.7306,"Biomass"
"34","Canary Rockfish","Sampling",0.7,12,0.7378,"Biomass"
"35","Canary Rockfish","Sampling",0.7,13,0.7398,"Biomass"
"36","Canary Rockfish","Sampling",0.7,14,0.7462,"Biomass"
"37","Canary Rockfish","Sampling",0.7,15,0.7494,"Biomass"
"38","Canary Rockfish","Sampling",0.7,16,0.7506,"Biomass"
"39","Canary Rockfish","Sampling",0.7,17,0.753,"Biomass"
"40","Canary Rockfish","Sampling",0.7,18,0.7532,"Biomass"
"41","Canary Rockfish","Sampling",0.7,19,0.7556,"Biomass"
"42","Canary Rockfish","Sampling",0.7,20,0.7576,"Biomass"
"43","Canary Rockfish","Sampling",0.8,0,0,"Biomass"
"44","Canary Rockfish","Sampling",0.8,1,0,"Biomass"
"45","Canary Rockfish","Sampling",0.8,2,0.3182,"Biomass"
"46","Canary Rockfish","Sampling",0.8,3,0.4676,"Biomass"
"47","Canary Rockfish","Sampling",0.8,4,0.557,"Biomass"
"48","Canary Rockfish","Sampling",0.8,5,0.6002,"Biomass"
