"","Species","Scenario","FDR","Year","Value","Metric"
"1","Canary Rockfish","Sampling",0.6,0,0,"Biomass"
"2","Canary Rockfish","Sampling",0.6,1,0,"Biomass"
"3","Canary Rockfish","Sampling",0.6,2,0.3716,"Biomass"
"4","Canary Rockfish","Sampling",0.6,3,0.5526,"Biomass"
"5","Canary Rockfish","Sampling",0.6,4,0.6506,"Biomass"
"6","Canary Rockfish","Sampling",0.6,5,0.7064,"Biomass"
"7","Canary Rockfish","Sampling",0.6,6,0.7418,"Biomass"
"8","Canary Rockfish","Sampling",0.6,7,0.7656,"Biomass"
"9","Canary Rockfish","Sampling",0.6,8,0.7842,"Biomass"
"10","Canary Rockfish","Sampling",0.6,9,0.7946,"Biomass"
"11","Canary Rockfish","Sampling",0.6,10,0.8034,"Biomass"
"12","Canary Rockfish","Sampling",0.6,11,0.8082,"Biomass"
"13","Canary Rockfish","Sampling",0.6,12,0.8098,"Biomass"
"14","Canary Rockfish","Sampling",0.6,13,0.8134,"Biomass"
"15","Canary Rockfish","Sampling",0.6,14,0.8192,"Biomass"
"16","Canary Rockfish","Sampling",0.6,15,0.823,"Biomass"
"17","Canary Rockfish","Sampling",0.6,16,0.8258,"Biomass"
"18","Canary Rockfish","Sampling",0.6,17,0.8268,"Biomass"
"19","Canary Rockfish","Sampling",0.6,18,0.8266,"Biomass"
"20","Canary Rockfish","Sampling",0.6,19,0.8276,"Biomass"
"21","Canary Rockfish","Sampling",0.6,20,0.8256,"Biomass"
"22","Canary Rockfish","Sampling",0.7,0,0,"Biomass"
"23","Canary Rockfish","Sampling",0.7,1,0,"Biomass"
"24","Canary Rockfish","Sampling",0.7,2,0.3316,"Biomass"
"25","Canary Rockfish","Sampling",0.7,3,0.4974,"Biomass"
"26","Canary Rockfish","Sampling",0.7,4,0.5902,"Biomass"
"27","Canary Rockfish","Sampling",0.7,5,0.6422,"Biomass"
"28","Canary Rockfish","Sampling",0.7,6,0.6772,"Biomass"
"29","Canary Rockfish","Sampling",0.7,7,0.698,"Biomass"
"30","Canary Rockfish","Sampling",0.7,8,0.7112,"Biomass"
"31","Canary Rockfish","Sampling",0.7,9,0.7218,"Biomass"
"32","Canary Rockfish","Sampling",0.7,10,0.7312,"Biomass"
"33","Canary Rockfish","Sampling",0.7,11,0.7394,"Biomass"
"34","Canary Rockfish","Sampling",0.7,12,0.7436,"Biomass"
"35","Canary Rockfish","Sampling",0.7,13,0.7452,"Biomass"
"36","Canary Rockfish","Sampling",0.7,14,0.7502,"Biomass"
"37","Canary Rockfish","Sampling",0.7,15,0.7504,"Biomass"
"38","Canary Rockfish","Sampling",0.7,16,0.7516,"Biomass"
"39","Canary Rockfish","Sampling",0.7,17,0.7514,"Biomass"
"40","Canary Rockfish","Sampling",0.7,18,0.7526,"Biomass"
"41","Canary Rockfish","Sampling",0.7,19,0.7552,"Biomass"
"42","Canary Rockfish","Sampling",0.7,20,0.754,"Biomass"
"43","Canary Rockfish","Sampling",0.8,0,0,"Biomass"
"44","Canary Rockfish","Sampling",0.8,1,0,"Biomass"
"45","Canary Rockfish","Sampling",0.8,2,0.2994,"Biomass"
"46","Canary Rockfish","Sampling",0.8,3,0.452,"Biomass"
"47","Canary Rockfish","Sampling",0.8,4,0.5288,"Biomass"
"48","Canary Rockfish","Sampling",0.8,5,0.5736,"Biomass"
